RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,Phys1Grade,PhysicsITimes,P1_PrevGrade
489,FEMALE,2021,White,3111,3.4,0,0,SAT,620,590,1,C+,2.3,B,1,N
490,FEMALE,2021,Black,3107,1.84,0,0,SAT,560,540,1,D,1,C,1,N
491,MALE,2021,NativeAmerican,3107,3.2,0,0,SAT,540,510,1,C,2,C+,1,N
492,MALE,2021,White,3115,3.59,93.41,100,SAT,750,580,0,,,A,1,N
493,MALE,2021,White,3111,3.87,4,4,ACT,600,740,1,B,3,A-,1,N
494,MALE,2021,White,3111,3.06,3.28,4,SAT,670,650,1,C,2,C,1,N
495,FEMALE,2021,Hispanic,3107,3.2,0,0,ACT,600,780,1,D,1,C+,1,N
496,FEMALE,2021,TwoOrMore,3111,2.85,3.75,4,SAT,600,590,1,D,1,A-,1,N
497,MALE,2021,Decline to answer,3111,3.83,91,100,ACT,680,780,1,B+,3.3,H,1,N
498,FEMALE,2021,Asian,3111,3.01,0,0,SAT,620,530,2,C,2,B-,1,N
499,FEMALE,2021,White,3107,3.74,3.92,4,SAT,630,690,1,A-,3.7,B,1,N
500,FEMALE,2021,White,3111,2.61,3.43,4,ACT,670,790,1,C-,1.7,C,1,N
501,MALE,2021,White,3111,3.23,3.7,4,SAT,690,660,1,B+,3.3,H,1,N
502,MALE,2021,White,3111,3.06,91.29,100,ACT,610,790,1,B,3,B+,1,N
503,MALE,2021,Hispanic,3111,3.27,3.9,4,SAT,680,580,1,A-,3.7,C+,1,N
504,MALE,2021,White,3111,3.39,3.17,4,SAT,700,630,1,B,3,A-,1,N
505,MALE,2021,Asian,3211,3.76,4,4,SAT,700,640,0,,,H,1,N
506,MALE,2021,White,3107,3.52,0,0,SAT,570,510,1,B+,3.3,B+,1,N
507,MALE,2021,TwoOrMore,3107,3.04,0,0,SAT,600,510,1,A-,3.7,B,1,N
508,MALE,2021,Native Hawaiian,3111,2.85,3.72,4,SAT,680,620,1,D,1,B-,1,N
509,FEMALE,2021,Asian,3111,3.43,3.8,4,ACT,700,790,1,B,3,A,1,N
510,FEMALE,2021,TwoOrMore,3111,2.84,3.8,4,SAT,620,630,1,C,2,C,1,N
511,FEMALE,2021,White,3115,2.95,3.87,4,SAT,650,620,0,,,B,1,N
512,MALE,2021,International Cadet,3111,2.17,3.94,4,ACT,600,680,2,B-,2.7,B-,1,N
513,MALE,2021,White,3117,3.2,3.78,4,ACT,630,560,0,,,B,1,N
514,MALE,2021,White,3111,3.66,4,4,SAT,680,700,1,B+,3.3,A,1,N
515,MALE,2021,White,3115,3.05,3.82,4,SAT,670,630,0,,,,0,N
