RecordNum,Phys1Grade,PhysicsITimes,P1_PrevGrade
1133,A,1,N
1134,B,1,N
1135,A,1,N
1136,A,1,N
1137,B+,1,N
1138,,0,N
1139,B,1,N
1140,B,1,N
1141,B,1,N
1142,W,1,N
1143,A,1,N
1144,H,1,N
1145,B,1,N
1146,A-,1,N
1147,B+,1,N
1148,,0,N
1149,H,1,N
1150,C+,1,N
1151,D,1,N
1152,B+,1,N
1153,A,1,N
1154,B+,1,N
1155,,0,N
1156,B,1,N
1157,H,1,N
1158,C+,1,N
1159,B+,1,N
1160,,0,N
1161,B,1,N
1162,B,1,N
1163,B,1,N
1164,A-,1,N
1165,B,1,N
1166,,0,N
1167,A,1,N
1168,B-,1,N
1169,C-,1,N
1170,B+,1,N
1171,B+,1,N
1172,C+,1,N
1173,A-,1,N
1174,H,1,N
1175,A,1,N
1176,B,1,N
1177,C+,1,N
1178,B-,1,N
1179,A-,1,N
1180,B,1,N
1181,A,1,N
1182,C+,1,N
1183,A-,1,N
1184,C+,1,N
1185,C,1,N
1186,B-,1,N
1187,A,1,N
1188,B-,1,N
1189,A,1,N
1190,H,1,N
1191,B+,1,N
1192,A-,1,N
1193,A-,1,N
1194,B+,1,N
1195,B-,1,N
1196,A-,1,N
1197,A,1,N
1198,A-,1,N
1199,B+,1,N
1200,A-,1,N
1201,C,1,N
1202,A,1,N
1203,B+,1,N
1204,A-,1,N
1205,C,1,N
1206,A-,1,N
1207,C,1,N
1208,B+,1,N
1209,B-,1,N
1210,A-,1,N
1211,C-,1,N
1212,A-,1,N
1213,C+,1,N
1214,B+,1,N
1215,B+,1,N
1216,A,1,N
1217,H,1,N
1218,B,1,N
1219,B+,1,N
1220,H,1,N
1221,B,1,N
1222,,0,N
1223,,0,N
1224,A-,1,N
1225,B,1,N
1226,B+,1,N
1227,B-,1,N
1228,F,1,N
1229,W,1,N
1230,,0,N
1231,B-,1,N
1232,,0,N
1233,,0,N
1234,H,1,N
1235,B-,1,N
1236,B+,1,N
1237,,0,N
1238,B+,1,N
1239,B,1,N
1240,B+,1,N
1241,B-,1,N
1242,B+,1,N
1243,B+,1,N
1244,A-,1,N
1245,B-,1,N
1246,B+,1,N
1247,B+,1,N
1248,A,1,N
1249,B,1,N
1250,H,1,N
1251,B+,1,N
1252,A,1,N
1253,,0,N
1254,B,1,N
1255,B-,1,N
1256,A,1,N
1257,A,1,N
1258,W,1,N
1259,B-,1,N
1260,C+,1,N
1261,A,1,N
1262,A-,1,N
1263,C+,1,N
1264,A,1,N
1265,B-,1,N
1266,B,1,N
1267,,0,N
1268,B,1,N
1269,A-,1,N
1270,C+,1,N
1271,B-,1,N
1272,A-,1,N
1273,C+,1,N
1274,B+,1,N
1275,B,1,N
1276,A-,1,N
1277,B+,1,N
1278,B+,1,N
1279,C+,1,N
1280,C-,1,N
1281,B-,1,N
1282,A-,1,N
1283,B,1,N
1284,A,1,N
1285,B-,1,N
1286,B,1,N
1287,A-,1,N
1288,A-,1,N
1289,C,1,N
1290,C+,1,N
1291,A-,1,N
1292,C+,1,N
1293,B,1,N
1294,A-,1,N
1295,B+,1,N
1296,B,1,N
1297,B,1,N
1298,A,1,N
1299,H,1,N
1300,B,1,N
1301,B,1,N
1302,C,1,N
1303,,0,N
1304,B+,1,N
1305,B,1,N
1306,A-,1,N
1307,A-,1,N
1308,H,1,N
1309,,0,N
1310,D,1,N
1311,,0,N
1312,A,1,N
1313,A,1,N
1314,B-,1,N
1315,A,1,N
1316,A-,1,N
1317,D,1,N
1318,,0,N
1319,A,1,N
1320,B-,1,N
1321,B-,1,N
1322,B,1,N
1323,B+,1,N
1324,D,1,N
1325,H,1,N
1326,B+,1,N
1327,B-,1,N
1328,A,1,N
1329,,0,N
1330,H,1,N
1331,A-,1,N
1332,C+,1,N
1333,H,1,N
1334,B,1,N
1335,H,1,N
1336,A-,1,N
1337,A-,1,N
1338,B+,1,N
1339,A-,1,N
1340,H,1,N
1341,C+,1,N
1342,B+,1,N
1343,A,1,N
1344,C,1,N
1345,A,1,N
1346,C+,1,N
1347,B,1,N
1348,C+,1,N
1349,C+,1,N
1350,B,1,N
1351,,0,N
1352,A-,1,N
1353,B+,1,N
1354,B+,1,N
1355,H,1,N
1356,B+,1,N
1357,A-,1,N
1358,A,1,N
1359,H,1,N
1360,B-,1,N
1361,B-,1,N
1362,A-,1,N
1363,A-,1,N
1364,,0,N
1365,B+,1,N
1366,W,1,N
1367,A,1,N
1368,A,1,N
1369,A-,1,N
1370,B+,1,N
1371,B-,1,N
1372,C+,1,N
1373,C+,1,N
1374,B+,1,N
1375,A-,1,N
1376,C-,1,N
1377,B+,1,N
1378,A,1,N
1379,A,1,N
1380,H,1,N
1381,H,1,N
1382,B,1,N
1383,B+,1,N
1384,H,1,N
1385,C-,1,N
1386,B,1,N
1387,B+,1,N
1388,,0,N
1389,,0,N
1390,,0,N
1391,B-,1,N
1392,B+,1,N
1393,,0,N
1394,A,1,N
1395,C,1,N
1396,H,1,N
1397,A,1,N
1398,A-,1,N
1399,B-,1,N
1400,B-,1,N
1401,B-,1,N
1402,B+,1,N
1403,C+,1,N
1404,,0,N
1405,B+,1,N
1406,B+,1,N
1407,B+,1,N
1408,B,1,N
1409,B+,1,N
1410,B+,1,N
1411,B,1,N
1412,A-,1,N
1413,H,1,N
1414,A-,1,N
1415,A-,1,N
1416,B+,1,N
1417,A,1,N
1418,B,1,N
1419,B+,1,N
1420,B+,1,N
1421,B,1,N
1422,C+,1,N
1423,H,1,N
1424,B+,1,N
1425,B+,1,N
1426,C+,1,N
1427,B+,1,N
1428,B+,1,N
1429,B-,1,N
1430,C+,1,N
1431,C,1,N
1432,F,1,N
1433,A,1,N
1434,B+,1,N
1435,B-,1,N
1436,A,1,N
1437,C-,1,N
1438,B+,1,N
1439,B,1,N
1440,B+,1,N
1441,B+,1,N
1442,F,1,N
1443,B,1,N
1444,B,1,N
1445,H,1,N
1446,H,1,N
1447,A-,1,N
1448,H,1,N
1449,B+,1,N
1450,C+,1,N
1451,B+,1,N
1452,H,1,N
1453,A-,1,N
1454,B-,1,N
1455,A,1,N
1456,C+,1,N
1457,F,2,F
1458,B,1,N
1459,A,1,N
1460,,0,N
1461,W,1,N
1462,D,1,N
1463,C,1,N
1464,B+,1,N
1465,C+,1,N
1466,B,1,N
1467,C+,1,N
1468,A-,1,N
1469,C+,1,N
1470,A-,1,N
1471,H,1,N
1472,A-,1,N
1473,B,1,N
1474,B+,1,N
1475,B+,1,N
1476,,0,N
1477,A-,1,N
1478,A-,1,N
1479,C+,1,N
1480,A,1,N
1481,B+,1,N
1482,H,1,N
1483,A,1,N
1484,B-,1,N
1485,A-,1,N
1486,B+,1,N
1487,A,1,N
1488,C+,1,N
1489,A,1,N
1490,A-,1,N
1491,C,1,N
1492,A,1,N
1493,H,1,N
1494,H,1,N
1495,B-,1,N
1496,C+,1,N
1497,C,1,N
1498,A,1,N
1499,B,1,N
1500,H,1,N
1501,B-,1,N
1502,B-,1,N
1503,A,1,N
1504,,0,N
1505,A,1,N
1506,B+,1,N
1507,C,1,N
1508,B,1,N
1509,B,1,N
1510,,0,N
1511,B-,1,N
1512,A,1,N
1513,A-,1,N
1514,B+,1,N
1515,B,1,N
1516,,0,N
1517,B,1,N
1518,H,1,N
1519,A,1,N
1520,C,1,N
1521,A-,1,N
1522,C-,1,N
1523,B-,1,N
1524,A-,1,N
1525,C,1,N
1526,B,1,N
1527,C+,1,N
1528,B,1,N
1529,C-,1,N
1530,B+,1,N
1531,C,1,N
1532,A,1,N
1533,B-,1,N
1534,B+,1,N
1535,F,1,N
1536,A,1,N
1537,A-,1,N
1538,B-,1,N
1539,H,1,N
1540,C+,1,N
1541,B+,1,N
1542,,0,N
1543,F,1,N
1544,B+,1,N
1545,B+,1,N
1546,C,1,N
1547,H,1,N
1548,B+,1,N
1549,,0,N
1550,B+,1,N
1551,B,1,N
1552,B+,1,N
1553,A,1,N
1554,B+,1,N
1555,B,1,N
1556,C,1,N
1557,B+,1,N
1558,C+,1,N
1559,A-,1,N
1560,C-,1,N
1561,B+,1,N
1562,B-,1,N
1563,B+,1,N
1564,B+,1,N
1565,B,1,N
1566,B-,1,N
1567,C-,1,N
1568,B+,1,N
1569,A-,1,N
1570,A-,1,N
1571,,0,N
1572,H,1,N
1573,H,1,N
1574,B-,1,N
1575,A,1,N
1576,B-,1,N
1577,C-,1,N
1578,B-,1,N
1579,C-,1,N
1580,A,1,N
1581,B-,1,N
1582,B-,1,N
1583,B+,1,N
1584,A-,1,N
