RecordNum,Gender,AcademicClassYr,Ethnicity,MathPlacement,LastGPA,HSGPA,MaxHS_GPA_Scale,TestUsed,MaxMath,MaxVerbal,Calc1Number,Calc1LastGrade,Calc1LastQP,PhysicsITimes
1521,Male,2025,Asian,3115,3.47,3.57,4,SAT,790,700,0,,,1
1522,Female,2025,Black,3107,2.34,0,0,SAT,570,650,1,C-,1.7,1
1523,Male,2025,White,3111,2.56,0,0,SAT,660,590,1,C+,2.3,1
1524,Male,2025,TwoOrMore,3111,3.35,4,4,ACT,600,660,1,B,3,1
1525,Female,2025,Hispanic,3111,2.96,3.83,4,ACT,660,790,1,C-,1.7,1
1526,Female,2025,White,3111,3.37,4,4,SAT,730,770,1,B,3,1
1527,Male,2025,TwoOrMore,3115,2.86,3.76,4,SAT,730,750,0,,,1
1528,Female,2025,White,3111,2.9,0,0,SAT,560,590,1,B,3,1
1529,Male,2025,TwoOrMore,3107,2.56,3.97,4,SAT,540,610,1,D,1,1
1530,Male,2025,Black,3111,2.73,0,0,SAT,600,580,1,B+,3.3,1
1531,Female,2025,TwoOrMore,3107,2.59,3.97,4,SAT,540,580,1,C-,1.7,1
1532,Female,2025,White,3111,3.6,4,4,SAT,670,620,1,B+,3.3,1
1533,Female,2025,White,3111,2.51,3.8,4,ACT,560,600,1,C,2,1
1534,Male,2025,TwoOrMore,3111,3.84,4,4,SAT,770,740,1,A,4,1
1535,Female,2025,TwoOrMore,3107,2.29,3.64,4,SAT,630,650,1,C+,2.3,1
1536,Male,2025,White,3111,3.83,4,4,SAT,630,650,1,A,4,1
1537,Male,2025,White,3213,3.88,3.9,4,ACT,790,800,0,,,1
1538,Female,2025,White,3111,2.96,95.6,100,SAT,610,600,1,B,3,1
1539,Female,2025,White,3111,3.96,96.14,100,SAT,610,610,1,A,4,1
1540,Male,2025,White,3111,2.47,0,0,SAT,710,600,1,C+,2.3,1
1541,MALE,2025,International Cadet,3111,2.79,4,4,ACT,460,600,1,C,2,1
1542,Male,2025,White,3115,2.45,3.92,4,SAT,780,730,0,,,0
1543,Male,2025,Hispanic,3107,2.11,0,0,ACT,610,560,1,C-,1.7,1
1544,Male,2025,White,3213,3.06,0,0,SAT,600,600,0,,,1
1545,Female,2025,White,3111,3.27,3.88,4,SAT,670,660,1,B+,3.3,1
1546,Female,2025,White,3111,2.96,3.8,4,ACT,740,630,1,C+,2.3,1
1547,Male,2025,Asian,3111,3.95,3.87,4,ACT,710,780,1,H,4,1
1548,Male,2025,Asian,3111,3.43,3.95,4,SAT,690,680,1,B+,3.3,1
